StudentID,Term,AcademicYear,LatestYear,CompleteDevMath,CompleteDevEnglish,Major1,Complete1,CompleteCIP1,TermGPA,CumGPA
20932,1,2014,15,-2,-2,0,0,-2,0,0
21868,6,2016,17,-2,-2,23.0101,7,23,4,3.82
21943,3,2012,13,-2,-2,26.0101,0,-2,0,0
22011,3,2014,15,0,0,42.0101,7,42,3.15,3.3
22163,3,2016,17,-2,-2,52.0201,0,-2,4,3.3
22672,1,2016,17,-2,-2,52.0801,0,-2,1.85,3.21
23538,6,2014,15,-2,-2,51.3801,8,51,3.7,3.73
23548,3,2014,15,-2,-2,52.0201,8,52,3.5,3.03
23606,1,2015,16,-2,-2,51.3801,0,-2,0,0
23897,3,2015,16,-2,-2,50.0701,7,50,3.81,3.84
25142,6,2016,17,-2,-2,45.1101,0,-2,3.5,3.05
25893,3,2015,16,0,-2,42.0101,0,-2,2.67,2.46
26047,3,2016,17,-2,-2,42.0101,7,42,2.33,2.67
26359,1,2016,17,-2,-2,27.0101,7,27,3.84,3.69
26367,3,2016,17,0,0,52.0301,0,-2,3.14,2.88
26404,1,2012,13,0,1,50.0901,0,-2,0.75,1.81
26586,3,2012,13,0,-2,50.0701,0,-2,0,0.24
26660,3,2011,12,-2,-2,52.1401,0,-2,0,3.52
26846,3,2014,15,-2,-2,52.0301,0,-2,2.66,3.32
27743,3,2015,16,-2,-2,42.0101,7,42,2.68,2.56
27936,3,2015,16,-2,-2,23.0101,0,-2,2.65,2.65
28117,1,2015,16,1,0,9.0101,0,-2,0,0
28229,6,2016,17,-2,-2,51.3899,8,51,3.45,3.22
28567,1,2011,12,-2,-2,52.0301,0,-2,1.54,1.54
28848,3,2014,15,-2,-2,51.3801,0,-2,3.7,3.35
28925,3,2016,17,-2,-2,23.0101,7,23,4,3.5
29164,1,2014,15,-2,-2,42.0101,7,42,2.43,3.45
29716,3,2014,15,-2,-2,43.0199,0,-2,3.3,3.34
30174,3,2012,13,-2,-2,45.1101,0,-2,1.88,2.18
30292,1,2016,17,-2,-2,51.3801,0,-2,3.83,3.82
30480,1,2015,16,0,-2,45.1001,0,-2,2.3,3.12
30767,1,2012,13,-2,-2,52.0201,0,-2,3.3,2.65
30958,6,2013,14,-2,-2,42.0101,7,42,4,3.42
30985,1,2016,17,0,0,50.0701,0,-2,0,2.96
31126,1,2015,16,-2,-2,45.1101,0,-2,0,0
31216,3,2016,17,0,-2,52.0801,8,52,3.93,3.66
31224,1,2014,15,-1,-1,0,0,-2,3,3
31659,3,2014,15,0,0,52.0801,8,52,3,3.02
32175,6,2012,13,0,-2,42.0101,0,-2,4,2.66
32551,6,2012,13,-2,-2,52.0201,8,52,4,3.64
32718,6,2016,17,-1,-1,24.0102,0,-2,3.85,3.95
32781,1,2013,14,0,-2,52.0301,0,-2,0,1.13
33332,1,2011,12,-2,-2,42.0101,0,-2,0,0
33370,3,2014,15,-2,-2,42.0101,0,-2,0,0
34166,6,2015,16,-2,-2,51.3801,8,51,4,3.79
34272,3,2015,16,-2,-2,51,8,51,0,3.36
34380,1,2013,14,-2,-2,45.1001,0,-2,0,2.86
34474,3,2012,13,0,0,43.0199,0,-2,0.9,0.61
34666,3,2012,13,-2,-2,43.0399,8,43,4,4
34919,3,2014,15,-2,-2,42.0101,7,42,3.85,3.41
34937,3,2014,15,-2,-2,11.0101,0,-2,4,4
35056,1,2013,14,-2,-2,52.0201,0,-2,3.4,3.25
35315,1,2013,14,-2,-2,0,0,-2,1,1.88
