studentid,RecentYear,AcademicYear,term,Cohort,CompleteDevMath,CompleteDevEnglish,Major1,Major2,complete1,complete2,completeCIP1,completeCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,City,state,Zip,RegistrationDate,Gender,BirthYear,Hispanic,AmericanIndian,Asian,Black,NativeHawaiian,White,TwoOrMoreRace,HSDip,HSDipYr,HSGPAUnwtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus
20932,15,2014-15,1,2014-15,-2,-2,0,-1,0,0,-2,-2,-1,6,0,0,Bayonne,NJ,7307,20140825,2,1971,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,81,65,-1,0,0,0,0,0
21868,17,2014-15,6,2014-15,-2,-2,13.1202,-1,0,0,-2,-2,-1,6,3.37,3.36,Kearny,NJ,7032,20140507,2,1980,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,71,66,-1,0,0,0,0,0
21943,13,2012-13,3,2012-13,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,0,0,"North Bergen",NJ,7047,20120426,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,81,81,-1,0,0,0,0,0
22011,15,2011-12,3,2011-12,0,1,0,-1,0,0,-2,-2,-1,6,3.9,3.9,"West New York",NJ,7030,20110613,2,1982,1,0,0,0,0,0,0,1,2000,-1,-1,0,1,-2,-2,-2,0,1,1,0,0
22163,17,2014-15,3,2013-14,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.2,3.17,Bayonne,NJ,7002,20131121,2,1982,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,91,81,-1,0,0,0,0,0
22672,17,2013-14,1,2013-14,-2,-2,52.0801,-1,0,0,-2,-2,-1,6,4,3.82,Newark,NJ,7106,20130827,1,1969,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,-1,96,-1,0,0,0,0,0
23538,15,2014-15,6,2013-14,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.73,Bayonne,NJ,7002,20140113,2,1981,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,-1,79,-1,2,0,0,0,0
23548,15,2012-13,3,2012-13,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,3.46,3.46,Bayonne,NJ,7002,20120731,1,1981,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,80,49,-1,0,0,0,0,0
23606,16,2015-16,1,2015-16,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,0,0,Bayonne,NJ,7002,20150817,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1,79,-1,0,0,0,0,0
23897,16,2014-15,3,2014-15,-2,-2,50.0701,-1,0,0,-2,-2,-1,6,3.93,3.92,Union,NJ,7083,20140619,1,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,93,66,-1,2,0,0,0,0
25142,17,2016-17,6,2016-17,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.48,2.47,"Jersey City",NJ,7305,20160606,2,1980,0,0,0,1,0,0,0,1,2000,-1,-1,0,2,128,66,-1,2,0,0,0,0
25893,16,2012-13,3,2012-13,0,-2,0,-1,0,0,-2,-2,-1,6,1.6,1.6,Kearny,NJ,7032,20120731,2,1977,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,74,25,-1,0,1,0,0,0
