StudentID,State,Gender,BirthYear,Hispanic,AmericanIndian,Asian,Black,NativeHawaiian,White,HsDip,HSDipYr,HSGPAUnwtd,Enrollmentstatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus
285848,NJ,2,1978,0,0,0,0,0,1,0,-1,-1,2,0,0,0,0,0,0,0
302176,NJ,1,1970,0,0,0,0,0,1,0,-1,-1,2,96,45,0,0,0,0,0
301803,ME,2,1984,0,0,0,0,0,1,0,-1,-1,2,0,0,0,0,0,0,0
302756,NJ,2,1986,0,0,0,0,0,1,0,-1,-1,2,54,87.5,0,0,0,0,0
300304,NJ,1,1992,1,0,0,0,0,0,0,2010,3.13,1,-2,-2,0,1,0,0,0
301067,NJ,1,1969,0,0,0,0,0,1,0,-1,-1,2,70,66,2,0,0,0,0
297371,NJ,2,1992,0,0,0,1,0,0,0,2010,3.5,1,-2,-2,0,0,1,1,0
273211,NJ,2,1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,62,66,2,0,0,0,0
302772,NJ,1,1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,53,45,0,0,0,0,0
280023,NJ,2,1987,1,0,0,0,0,0,0,-1,-1,2,52,66,0,0,0,0,0
300412,RI,2,1993,0,0,0,1,0,0,0,2011,2.5,1,-2,-2,0,1,0,0,0
299369,NJ,1,1992,1,0,0,0,0,0,0,2010,-1,1,-2,-2,0,1,1,0,0
303260,NJ,2,1977,0,0,0,1,0,0,0,-1,-1,2,72,54.5,0,0,0,0,1
299997,NJ,1,1993,0,0,0,1,0,0,0,2010,2.34,1,-2,-2,0,1,1,1,0
300569,NJ,2,1988,1,0,0,0,0,0,0,-1,-1,2,0,0,0,0,0,0,0
299363,NJ,2,1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,87,0,0,0,0,0
300635,NJ,2,1987,0,0,0,0,0,1,0,-1,-1,2,0,0,0,0,0,0,0
299788,NJ,1,1993,1,0,0,0,0,0,0,-1,2.6,1,-2,-2,0,1,1,1,0
302134,NJ,2,1992,-1,-1,-1,-1,-1,-1,-1,-1,3.2,1,-2,-2,0,1,1,0,0
301723,NJ,2,1988,1,0,0,0,0,0,0,-1,-1,2,70,66,2,0,0,0,0
283028,NJ,1,1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,96,0,0,0,0,0
294970,NJ,2,1963,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,64,66,2,0,0,0,0
301192,NJ,2,1965,1,0,0,0,0,0,0,-1,-1,2,134,66,0,0,0,1,0
303346,NJ,1,1993,1,0,0,0,0,0,0,2010,3.2,1,-2,-2,0,0,0,1,1
305186,NJ,2,1970,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,76,34,2,0,0,0,0
304587,NJ,2,1980,1,0,0,0,0,0,0,-1,-1,2,74,33,2,0,0,0,0
305182,NJ,1,1987,0,0,0,0,0,1,0,-1,-1,2,0,0,2,0,0,0,0
